402507,VISA,Unknown,UNKNOWN
404906,VISA,Debit,BUSINESS
424561,VISA,Debit,CLASSIC
424562,VISA,Debit,PREMIER
424563,VISA,Debit,ELECTRON
426803,VISA,Credit,CLASSIC
426804,VISA,Credit,INFINITE
429726,VISA,Debit,CLASSIC
429727,VISA,Debit,PREMIER
429728,VISA,Debit,ELECTRON
446050,VISA,Debit,PLATINUM
447817,VISA,Credit,PREMIER
447818,VISA,Credit,PLATINUM
476206,VISA,Debit,ELECTRON
476207,VISA,Debit,PREMIER
476208,VISA,Debit,CLASSIC
482413,VISA,Debit,PLATINUM
515848,MASTERCARD,Credit,GOLD
518946,MASTERCARD,Credit,GOLD
518970,MASTERCARD,Credit,UNKNOWN
518977,MASTERCARD,Credit,GOLD
518981,MASTERCARD,Credit,UNKNOWN
520085,MASTERCARD,Credit,GOLD
520088,MASTERCARD,Credit,GOLD
521124,MASTERCARD,Credit,UNKNOWN
525494,MASTERCARD,Credit,UNKNOWN
526280,MASTERCARD,Debit,BUSINESS
528701,MASTERCARD,Credit,GOLD
529160,MASTERCARD,Credit,STANDARD
530441,MASTERCARD,Credit,PLATINUM
539621,MASTERCARD,Credit,GOLD
539704,MASTERCARD,Credit,GOLD
539861,MASTERCARD,Credit,UNKNOWN
541269,MASTERCARD,Credit,UNKNOWN
541292,MASTERCARD,Credit,UNKNOWN
541503,MASTERCARD,Credit,UNKNOWN
542340,MASTERCARD,Credit,GOLD
543874,MASTERCARD,Credit,UNKNOWN
544800,MASTERCARD,Credit,GOLD
545350,MASTERCARD,Credit,UNKNOWN
545598,MASTERCARD,Credit,GOLD
546766,MASTERCARD,Credit,GOLD
547329,MASTERCARD,Credit,BUSINESS
548172,MASTERCARD,Credit,UNKNOWN
548269,MASTERCARD,Credit,GOLD
549425,MASTERCARD,Credit,UNKNOWN
549439,MASTERCARD,Credit,UNKNOWN
549524,MASTERCARD,Credit,GOLD
554279,MASTERCARD,Credit,GOLD
554759,MASTERCARD,Credit,UNKNOWN
554781,MASTERCARD,Credit,GOLD
557981,MASTERCARD,Credit,UNKNOWN
558254,MASTERCARD,Credit,BUSINESS
558268,MASTERCARD,Credit,BUSINESS
558672,MASTERCARD,Credit,BUSINESS
676444,MAESTRO,Debit,UNKNOWN
220003,MIR,Debit,UNKNOWN
